userWallet,num_actions,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_deposit,total_borrow,total_repay,total_redeem,repay_to_borrow_ratio,net_flow,active_days,time_span_days,unique_assets_used
0x00261d225db379b3fc74cd0228d6f90582d39035,2,1,1,0,0,0,3.42e+16,5000000000000000.0,0.0,0.0,0.0,3.42e+16,1,1,1
0x00262ffcfda82b5582d1905ca05b849f196b0419,10,4,3,1,2,0,101169192.0,57074003.0,57090279.0,101180778.0,1.0002851736192395,-11586.0,2,4,2
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1,1,0,0,0,0,450246121481307.0,0.0,0.0,0.0,0.0,450246121481307.0,1,1,1
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1,1,0,0,0,0,1851978.0,0.0,0.0,0.0,0.0,1851978.0,1,1,1
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1,1,0,0,0,0,9.7e+16,0.0,0.0,0.0,0.0,9.7e+16,1,1,1
0x002775390698ef16589bb22bba37ae7906ae2f36,30,17,7,5,1,0,8.138977148594979e+19,6.820172016650169e+19,3.2017201665016986e+18,11640428.0,0.0469448594358808,8.138977148593816e+19,9,21,5
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1,1,0,0,0,0,1880888.0,0.0,0.0,0.0,0.0,1880888.0,1,1,1
0x0027f7335d610f15b325baa5798414548720fcaa,13,6,2,2,3,0,2.0055276752177456e+17,1518992970.0,1519063995.0,4100077779.0,1.00004675795175,2.0055276342169677e+17,3,2,2
0x00283b611db7844cb5677b311afd67c8e3078518,1,1,0,0,0,0,7200645.0,0.0,0.0,0.0,0.0,7200645.0,1,1,1
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1,1,0,0,0,0,4.72e+16,0.0,0.0,0.0,0.0,4.72e+16,1,1,1
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,2,0,0,0,0,2.6e+18,0.0,0.0,0.0,0.0,2.6e+18,2,4,1
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1,1,0,0,0,0,1107978.0,0.0,0.0,0.0,0.0,1107978.0,1,1,1
0x002aea16059a7d4bef638a03b61a9e80ef07e745,41,12,10,5,14,0,1.430619659525877e+21,6.743817858193417e+20,15406926.0,2.4554426788681477e+21,2.28459995865418e-14,-1.0248230193422708e+21,11,83,6
0x002bb13a55bf4525f02717708dd4534ecc475193,2,2,0,0,0,0,3145177.0,0.0,0.0,0.0,0.0,3145177.0,1,1,1
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1,1,0,0,0,0,1151220.0,0.0,0.0,0.0,0.0,1151220.0,1,1,1
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,5,2,1,1,1,0,1.000000000005134e+18,2726309.0,2726309.0,5133916.0,1.0,1e+18,2,19,2
